feature,importance
cat__citizenship_Native- Born in the United States,3
cat__country of birth self_Ireland,3
cat__migration code-change in msa_Not identifiable,3
cat__country of birth self_Portugal,3
cat__fill inc questionnaire for veteran's admin_Yes,3
cat__race_Other,3
cat__detailed household and family stat_Other Rel 18+ ever marr RP of subfamily,3
cat__major industry code_Private household services,3
cat__country of birth mother_Hong Kong,2
cat__country of birth father_France,2
cat__family members under 18_Not in universe,2
cat__state of previous residence_Indiana,2
cat__country of birth self_Peru,2
cat__country of birth mother_Yugoslavia,2
cat__country of birth mother_South Korea,2
cat__state of previous residence_Texas,2
cat__state of previous residence_Missouri,2
cat__country of birth mother_Cuba,2
cat__country of birth self_Iran,2
cat__country of birth self_Vietnam,2
cat__major industry code_Not in universe or children,2
cat__country of birth mother_Iran,2
cat__enroll in edu inst last wk_Not in universe,2
cat__state of previous residence_New Jersey,2
cat__state of previous residence_Montana,2
cat__country of birth father_Dominican-Republic,1
cat__country of birth self_China,1
cat__country of birth self_India,1
cat__detailed household and family stat_Grandchild 18+ never marr not in subfamily,1
cat__country of birth self_Hungary,1
cat__state of previous residence_Minnesota,1
cat__country of birth self_Greece,1
cat__country of birth father_Japan,1
cat__state of previous residence_Illinois,1
cat__country of birth mother_Taiwan,1
cat__country of birth mother_Holand-Netherlands,1
cat__country of birth mother_Dominican-Republic,1
cat__country of birth mother_Jamaica,1
cat__country of birth mother_Greece,1
cat__state of previous residence_Kansas,1
cat__country of birth mother_Trinadad&Tobago,1
cat__country of birth father_Puerto-Rico,1
cat__country of birth father_Taiwan,1
cat__state of previous residence_Oregon,1
cat__state of previous residence_Arkansas,1
cat__migration prev res in sunbelt_Not in universe,1
cat__migration code-change in reg_Different division same region,1
cat__detailed household summary in household_Child under 18 never married,1
cat__migration code-move within reg_Different state in West,1
cat__country of birth self_Taiwan,1
cat__state of previous residence_Arizona,1
cat__hispanic origin_Do not know,1
cat__hispanic origin_Puerto Rican,1
cat__hispanic origin_Cuban,1
cat__country of birth self_Jamaica,1
