feature,importance
cat__country of birth father_Scotland,0.0017650325
cat__state of previous residence_Texas,0.0017650314
cat__country of birth mother_Puerto-Rico,0.0017614671
cat__race_Other,0.0017555337
cat__migration prev res in sunbelt_No,0.0017498925
cat__country of birth father_?,0.0017452766
cat__race_Amer Indian Aleut or Eskimo,0.0017428835
cat__major industry code_Private household services,0.0017408514
cat__state of previous residence_Alaska,0.0017396043
cat__reason for unemployment_Not in universe,0.001734805
cat__country of birth mother_United-States,0.0017047379
cat__country of birth mother_Peru,0.0016963923
cat__country of birth father_Germany,0.0016838759
cat__migration code-change in msa_NonMSA to MSA,0.0016735056
cat__detailed household and family stat_Child 18+ ever marr RP of subfamily,0.0016610546
cat__migration code-change in reg_Different state same division,0.0016479256
cat__hispanic origin_Other Spanish,0.0016452831
cat__enroll in edu inst last wk_College or university,0.0016380837
cat__major industry code_Manufacturing-durable goods,0.0016337056
cat__major industry code_Wholesale trade,0.0016317425
cat__country of birth self_India,0.0016311149
cat__country of birth father_India,0.0016184335
cat__migration code-change in msa_MSA to nonMSA,0.0016124247
cat__state of previous residence_Vermont,0.0016070621
cat__country of birth father_Haiti,0.0015987012
cat__state of previous residence_South Carolina,0.0015904503
cat__country of birth father_Jamaica,0.0015880674
cat__country of birth self_Cuba,0.0015866325
cat__country of birth father_United-States,0.0015701602
cat__member of a labor union_No,0.0015665914
cat__country of birth father_Ecuador,0.0015610515
cat__state of previous residence_Nevada,0.0015056545
cat__race_Asian or Pacific Islander,0.0015055672
num__veterans benefits,0.0015029724
cat__full or part time employment stat_Not in labor force,0.0015024286
cat__reason for unemployment_Re-entrant,0.0014956099
cat__country of birth self_South Korea,0.0014880036
cat__migration code-move within reg_Different state in Northeast,0.0014878071
cat__region of previous residence_Northeast,0.001486058
cat__country of birth mother_Greece,0.0014849701
cat__detailed household and family stat_Grandchild 18+ ever marr not in subfamily,0.0014750699
cat__country of birth father_Cambodia,0.0014647624
cat__country of birth mother_Haiti,0.0014561749
cat__state of previous residence_Abroad,0.0014526984
cat__state of previous residence_Arkansas,0.0014446087
cat__migration code-move within reg_Same county,0.001437256
cat__hispanic origin_Central or South American,0.0014111872
cat__country of birth self_Haiti,0.0013919114
cat__country of birth mother_Thailand,0.0013765626
cat__migration code-change in reg_Nonmover,0.0013761581
cat__state of previous residence_Oregon,0.0013731009
cat__country of birth mother_Columbia,0.0013689646
cat__country of birth mother_Taiwan,0.0013686296
cat__state of previous residence_Georgia,0.0013677789
cat__state of previous residence_Kansas,0.001355933
cat__migration code-move within reg_Different state in West,0.0013514495
